journal_name,short_name,dict,if2023,if5year,jcr,rank,cas
20 Et 21-Revue D Histoire,20 21 REV HIST,HISTORY,<0.1,<0.1,Q4,450/518,4
2D Materials,2D MATER,"MATERIALS SCIENCE, MULTIDISCIPLINARY",4.5,5.4,Q2,143/438,3
3 Biotech,3 BIOTECH,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2.6,2.9,Q3,95/174,4
3C Empresa,3C EMPRESA,BUSINESS,1.2,0.6,Q4,230/302,4
3c Tecnologia,3C TECNOL,"ENGINEERING, MULTIDISCIPLINARY",0.9,0.5,Q3,111/179,4
3C Tic,3C TIC,"COMPUTER SCIENCE, THEORY & METHODS",0.9,0.5,Q3,93/143,4
3D Printing and Additive Manufacturing,3D PRINT ADDIT MANUF,"MATERIALS SCIENCE, MULTIDISCIPLINARY",2.3,3.5,Q3,275/438,4
3D Printing in Medicine,3D PRINT MED,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.2,N/A,Q1,46/204,3
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,3L-LANG LINGUIST LIT,LANGUAGE & LINGUISTICS,0.6,0.7,N/A,N/A,3
452 F-Revista de Teoria de la Literatura y Literatura Comparada,452 F-REV TEOR LIT L,LITERATURE,0.1,<0.1,N/A,N/A,4
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1.7,2,Q3,61/106,4
A & A Practice,A A PRACT,ANESTHESIOLOGY,0.5,0.5,Q4,50/64,4
A + U-ARCHITECTURE AND URBANISM,A U-ARCHIT URBAN,ARCHITECTURE,<0.1,<0.1,N/A,N/A,4
A&C-Revista de Direito Administrativo & Constitucional,A C-REV DIREITO ADM,LAW,0.2,0.3,Q4,316/421,4
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA-ARB ANGLIST AM,LITERATURE,0.1,0.2,N/A,N/A,4
AACN Advanced Critical Care,AACN ADV CRIT CARE,NURSING,2,1.6,Q2,61/191,4
AAPG BULLETIN,AAPG BULL,"GEOSCIENCES, MULTIDISCIPLINARY",2.7,3.4,Q2,92/253,3
AAPS Journal,AAPS J,PHARMACOLOGY & PHARMACY,5,4.1,Q1,43/354,3
AAPS PHARMSCITECH,AAPS PHARMSCITECH,PHARMACOLOGY & PHARMACY,3.4,3.5,Q2,105/354,4
AATCC Journal of Research,AATCC J RES,"MATERIALS SCIENCE, TEXTILES",0.6,0.8,Q4,22/29,4
AATCC REVIEW,AATCC REV,"MATERIALS SCIENCE, TEXTILES",<0.1,0.2,Q4,29/29,4
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,AB IMP,HISTORY,0.4,0.4,Q1,121/518,3
Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,"BUSINESS, FINANCE",2.5,2.8,Q2,77/231,4
Abakos,ABAKOS,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",0.1,0.1,Q4,134/135,4
Abanico Veterinario,ABANICO VET,VETERINARY SCIENCES,0.3,0.4,Q4,148/167,4
